# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu Mar 27 07:16:16 2025
#
# User preference:
#
# CONSTRAINT:  where (tran_flag = 1
# CONSTRAINT:  and pl_orbperstr < 10
# CONSTRAINT:  and pl_radjstr > 0
# CONSTRAINT:  and pl_bmassjstr > 0.2
# CONSTRAINT:  and sy_vmagstr < 10)
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN disc_facility:  Discovery Facility
# COLUMN tran_flag:      Detected by Transits
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter Radius]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter Radius]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassjerr1:  Planet Mass or Mass*sin(i) [Jupiter Mass] Upper Unc.
# COLUMN pl_bmassjerr2:  Planet Mass or Mass*sin(i) [Jupiter Mass] Lower Unc.
# COLUMN pl_bmassjlim:   Planet Mass or Mass*sin(i) [Jupiter Mass] Limit Flag
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_insolerr1:   Insolation Flux Upper Unc. [Earth Flux]
# COLUMN pl_insolerr2:   Insolation Flux Lower Unc. [Earth Flux]
# COLUMN pl_insollim:    Insolation Flux Limit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
# COLUMN ttv_flag:       Data show Transit Timing Variations
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_meterr1:     Stellar Metallicity Upper Unc. [dex]
# COLUMN st_meterr2:     Stellar Metallicity Lower Unc. [dex]
# COLUMN st_metlim:      Stellar Metallicity Limit Flag
# COLUMN st_metratio:    Stellar Metallicity Ratio
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_loggerr1:    Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN st_loggerr2:    Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN st_logglim:     Stellar Surface Gravity Limit Flag
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
# COLUMN sy_vmag:        V (Johnson) Magnitude
# COLUMN sy_vmagerr1:    V (Johnson) Magnitude Upper Unc
# COLUMN sy_vmagerr2:    V (Johnson) Magnitude Lower Unc
# COLUMN sy_kmag:        Ks (2MASS) Magnitude
# COLUMN sy_kmagerr1:    Ks (2MASS) Magnitude Upper Unc
# COLUMN sy_kmagerr2:    Ks (2MASS) Magnitude Lower Unc
# COLUMN sy_gaiamag:     Gaia Magnitude
# COLUMN sy_gaiamagerr1: Gaia Magnitude Upper Unc
# COLUMN sy_gaiamagerr2: Gaia Magnitude Lower Unc
#
pl_name,hostname,pl_trandur,pl_trandep,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,tran_flag,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2
KOI-13 b,KOI-13,3.317,,3,1,Transit,2011,Kepler,1,0,1.763588,0.000001,-0.000001,0,0.03641,0.00087,-0.00087,0,16.948,0.392,-0.392,0,1.512,0.035,-0.035,0,2949.4624,50.8528,-50.8528,0,9.28,0.16,-0.16,0,Mass,0.00064,0.00012,-0.00016,0,25339.9,3035.3,-2595.94,0,2550,80,-80,0,1,,7986.07,177.2,-177.2,0,1.76,0.01,-0.01,0,1.67,0.07,-0.1,0,0.2,0.2,-0.2,0,[Fe/H],4.06,0.12,-0.08,0,19h07m53.13s,286.9713876,+46d52m05.69s,46.8682463,519.096,30.703,-27.506,9.791,0.023,-0.023,9.425,0.014,-0.014,10.3678,0.001225,-0.001225
TOI-1842 b,TOI-1842,4.307,,1,1,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),1,0,9.5739181,0.0000099,-0.0000099,0,0.1,0.002,-0.002,0,12.349,0.279,-0.294,0,1.102,0.025,-0.026,0,89.4,7.8,-7.8,0,0.28128,0.02454,-0.02454,0,Mass,0.276,0.064,-0.064,0,354.64,,,0,1200,22,-22,0,0,,6039,93,-89,0,2.03,0.04,-0.04,0,1.46,0.03,-0.04,0,0.332,0.06,-0.06,0,[Fe/H],3.99,0.02,-0.02,0,13h27m51.04s,201.9626552,+09d01m50.32s,9.0306437,223.465,2.26,-2.216,9.815,0.004,-0.004,8.446,0.021,-0.021,9.65981,0.000247,-0.000247
KELT-3 b,KELT-3,3.1512,,2,1,Transit,2013,KELT,1,0,2.70339,0.00001,-0.00001,0,0.04123,0.00066,-0.00066,0,17.486,1.233,-1.233,0,1.56,0.11,-0.11,0,616.5902,104.8839,-104.8839,0,1.94,0.33,-0.33,0,Mass,0,,,0,1704.57,,,0,1816,37,-39,0,0,,6304,49,-49,0,1.47,0.07,-0.06,0,1.28,0.06,-0.06,0,0.05,,,0,[Fe/H],4.21,0.03,-0.03,0,09h54m34.35s,148.6431193,+40d23m16.60s,40.3879446,210.252,5.544,-5.271,9.816,0.004,-0.004,8.662,0.019,-0.019,9.76324,0.000415,-0.000415
HAT-P-1 b,HAT-P-1,2.85,,2,1,Transit,2006,HATNet,1,0,4.46529976,0.00000055,-0.00000055,0,0.05561,0.00082,-0.00083,0,14.785,0.213,-0.213,0,1.319,0.019,-0.019,0,166.86075,6.03877,-6.03877,0,0.525,0.019,-0.019,0,Mass,0,,,0,243.7,,,0,1322,14,-15,0,0,G0 V,5980,49,-49,0,1.17,0.03,-0.03,0,1.15,0.05,-0.05,0,0.13,0.008,-0.008,0,[Fe/H],4.36,0.01,-0.01,0,22h57m46.89s,344.4453632,+38d40m29.71s,38.674919,158.979,0.977,-0.965,9.827,0.194,-0.194,8.858,0.018,-0.018,10.1786,0.000384,-0.000384
XO-3 b,XO-3,2.503,,1,1,Transit,2007,XO,1,0,3.19154,0.00014,-0.00014,0,0.0476,0.0005,-0.0005,0,15.805,1.345,-1.345,0,1.41,0.12,-0.12,0,2316.9807,378.2177,-378.2177,0,7.29,1.19,-1.19,0,Mass,0.29,0,0,0,1033.99,,,0,1729,34,-34,0,0,F5V,6781,44,-44,0,1.41,0.06,-0.06,0,1.21,0.06,-0.06,0,-0.18,,,0,[Fe/H],4.22,0.03,-0.03,0,04h21m52.70s,65.4695814,+57d49m01.95s,57.8172095,213.053,2.724,-2.658,9.854,0.004,-0.004,8.791,0.019,-0.019,9.73889,0.000258,-0.000258
KELT-19 A b,KELT-19 A,4.394,,2,1,Transit,2017,KELT,1,0,4.6117093,0.0000088,-0.0000088,0,0.0637,0.0031,-0.0027,0,21.409,1.233,-1.233,0,1.91,0.11,-0.11,0,1293.5681,,,1,4.07,,,1,Mass,,,,,2340,184,-184,0,1935,38,-38,0,1,A8 V,7500,110,-110,0,1.83,0.1,-0.1,0,1.62,0.25,-0.2,0,-0.12,0.51,-0.51,0,[Fe/H],4.13,0.03,-0.03,0,07h26m02.29s,111.5095293,+07d36m56.79s,7.6157759,300.276,4.684,-4.544,9.857,0.005,-0.005,9.196,0.023,-0.023,9.86331,0.001629,-0.001629
WASP-69 b,WASP-69,2.187,,1,1,Transit,2014,SuperWASP,1,0,3.86814,0.000002,-0.000002,0,0.04525,0.00053,-0.00053,0,12.442,0.448,-0.448,0,1.11,0.04,-0.04,0,92.1707,9.5349,-9.5349,0,0.29,0.03,-0.03,0,Mass,0,,,0,180.56,,,0,963,18,-18,0,0,K5,4700,50,-50,0,0.86,0.03,-0.03,0,0.98,0.14,-0.14,0,0.15,,,0,[Fe/H],4.5,0.15,-0.15,0,21h00m06.23s,315.0259661,-05d05m41.49s,-5.094857,49.9605,0.132,-0.1313,9.873,0.006,-0.006,7.459,0.024,-0.024,9.48466,0.000475,-0.000475
TOI-251 b,TOI-251,2.23,,1,1,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),1,0,4.93777,0.000028,-0.000029,0,0.05741,0.00023,-0.00017,0,2.74,0.18,-0.18,0,0.244,0.016,-0.016,0,317.83,,,1,1,,,1,Mass,0,,,0,277.75,,,0,1041,,,0,0,,5875,100,-190,0,0.88,0.04,-0.05,0,1.04,0.01,-0.01,0,-0.106,0.079,-0.07,0,[Fe/H],4.56,0.05,-0.05,0,23h32m14.90s,353.0620655,-37d15m21.11s,-37.2558629,99.523,0.4374,-0.4336,9.887,0.005,-0.005,8.426,0.027,-0.027,9.75411,0.001277,-0.001277
TOI-6038 A b,TOI-6038 A,5.042,,2,1,Transit,2025,Transiting Exoplanet Survey Satellite (TESS),1,0,5.8267311,0.0000074,-0.0000068,0,0.069,0.0012,-0.0011,0,6.41,0.2,-0.16,0,0.572,0.018,-0.014,0,78.5,9.5,-9.9,0,0.24699,0.02989,-0.03115,0,Mass,,,,,716,51,-47,0,1439,25,-24,0,0,,6110,100,-100,0,1.65,0.05,-0.04,0,1.29,0.07,-0.06,0,0.124,0.079,-0.077,0,[Fe/H],4.12,0.02,-0.03,0,03h26m37.74s,51.6572691,+40d49m02.17s,40.8172704,179.147,1.448,-1.426,9.913,0.005,-0.005,8.445,0.02,-0.02,9.72957,0.000273,-0.000273
WASP-178 b,WASP-178,3.47,,1,1,Transit,2019,WASP-South,1,0,3.3448285,0.0000012,-0.0000012,0,0.0558,0.001,-0.001,0,20.288,1.009,-1.009,0,1.81,0.09,-0.09,0,527.5978,38.1396,-38.1396,0,1.66,0.12,-0.12,0,Mass,0,,,0,5550,1250,-630,0,2470,60,-60,0,0,A1 IV-V,9360,150,-150,0,1.67,0.07,-0.07,0,2.07,0.11,-0.11,0,0.21,0.16,-0.16,0,[Fe/H],4.31,0.04,-0.04,0,15h09m04.88s,227.270329,-42d42m17.88s,-42.7049658,427.678,11.35,-10.786,9.946,0.005,-0.005,9.703,0.021,-0.021,9.91226,0.000426,-0.000426
TOI-4551 b,TOI-4551,10.474,,1,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),1,0,9.95581,0.000076,-0.000078,0,0.0994,0.003,-0.0032,0,11.859,1.233,-0.695,0,1.058,0.11,-0.062,0,473.56433,41.31769,-41.31769,0,1.49,0.13,-0.13,0,Mass,0.101,0.034,-0.033,0,1247.74,,,0,1655,,,0,0,,4896,110,-110,0,3.55,0.18,-0.15,0,1.31,0.07,-0.18,0,0.23,0.06,-0.06,0,[Fe/H],3.48,0.1,-0.1,0,12h19m54.90s,184.9787579,-25d49m40.27s,-25.8278531,215.986,2.463,-2.409,9.973,0.006,-0.006,7.524,0.026,-0.026,9.641,0.000199,-0.000199
WASP-136 b,WASP-136,5.453,,1,1,Transit,2016,SuperWASP,1,0,5.215357,0.000006,-0.000006,0,0.0661,0.0012,-0.0012,0,15.468,1.793,-1.793,0,1.38,0.16,-0.16,0,479.9233,25.4264,-25.4264,0,1.51,0.08,-0.08,0,Mass,0,,,0,1843.46,,,0,1742,82,-82,0,0,,6250,100,-100,0,2.39,0.12,-0.12,0,1.41,0.07,-0.07,0,-0.18,0.1,-0.1,0,[Fe/H],3.9,0.06,-0.06,0,00h01m18.18s,0.325761,-08d55m34.50s,-8.9262512,275.587,4.606,-4.46,9.974,0.003,-0.003,8.805,0.024,-0.024,9.81929,0.000208,-0.000208
KELT-4 A b,KELT-4 A,3.4627,,3,1,Transit,2016,KELT,1,0,2.9895932,0.0000049,-0.0000049,0,0.04317,0.00079,-0.00074,0,19.044,0.516,-0.504,0,1.699,0.046,-0.045,0,286.68266,19.0698,-18.75197,0,0.902,0.06,-0.059,0,Mass,0,,,0,1840,110,-110,0,1823,27,-27,0,0,,6207,75,-75,0,1.6,0.04,-0.04,0,1.2,0.07,-0.06,0,-0.116,0.065,-0.069,0,[Fe/H],4.11,0.01,-0.01,0,10h28m15.03s,157.06262,+25d34m23.29s,25.5731366,218.05,2.106,-2.067,9.98,0.03,-0.03,8.689,0.02,-0.02,9.95702,0.000812,-0.000812
HAT-P-14 b,HAT-P-14,2.184,,2,1,Transit,2010,HATNet,1,0,4.62767,0.000005,-0.000005,0,0.0596,0.0005,-0.0005,0,15.917,1.345,-1.345,0,1.42,0.12,-0.12,0,1093.3352,200.2329,-200.2329,0,3.44,0.63,-0.63,0,Mass,0.11,0.01,-0.01,0,1038.78,,,0,1624,32,-32,0,0,F5 V,6600,90,-90,0,1.82,0.15,-0.15,0,2.65,0.73,-0.73,0,0.11,,,0,[Fe/H],4.25,0.03,-0.03,0,17h20m27.88s,260.1161719,+38d14m31.81s,38.2421682,222.663,1.257,-1.244,9.988,0.004,-0.004,8.851,0.019,-0.019,9.87283,0.000338,-0.000338
